"press" "alt" "temp.mean" "temp.sd" "temp.count" "x.mean" "x.sd" "y.mean" "y.sd" "xy.count" "wdeg" "wspd"
274.495 32000 -47.615 0.788 653 69.896 3.766 13.742 4.16 666 258.877 71.234
268.195 32500 -48.781 0.707 110 68.088 7.714 12.202 10.394 111 259.84 69.173
262.014 33000 -49.572 1.087 524 72.709 8.462 22.321 10.594 527 252.934 76.058
255.948 33500 -49.178 1.571 148 65.955 8.907 11.731 9.943 151 259.915 66.99
249.996 34000 -49.216 1.359 908 57.059 10.562 7.016 5.792 932 262.99 57.489
244.157 34500 -49.05 1.372 174 62.606 11.133 11.838 8.811 182 259.292 63.715
238.429 35000 -49.254 2.355 3437 60.348 9.397 15.531 6.622 3592 255.567 62.314
232.81 35500 -47.76 1.044 74 57.691 11.319 5.175 4.663 79 264.874 57.923
227.299 36000 -46.941 1.851 2920 53.782 11.082 2.031 3.592 2973 267.838 53.821
221.896 36500 -45.456 0.941 48 58.266 10.028 7.251 6.945 51 262.906 58.715
216.627 37000 -44.174 1.354 2547 47.374 10.358 9.537 6.641 2548 258.618 48.324
211.483 37500 -44.357 0.986 95 45.447 5.683 -1.667 4.507 100 272.1 45.477
206.461 38000 -44.306 1.018 3869 40.934 4.401 -1.175 4.191 4076 271.645 40.951
201.559 38500 -43.038 0.998 74 44.039 9.336 1.776 2.617 74 267.691 44.074
196.773 39000 -43.571 0.955 1598 41.378 8.662 3.808 4.567 1663 264.742 41.553
192.101 39500 NA NA NA NA NA NA NA NA NA NA
187.539 40000 -41.846 0.712 376 36.237 2.923 -9.249 2.357 396 284.318 37.398
183.086 40500 NA NA NA NA NA NA NA NA NA NA
178.739 41000 NA NA NA NA NA NA NA NA NA NA
174.495 41500 NA NA NA NA NA NA NA NA NA NA
170.351 42000 NA NA NA NA NA NA NA NA NA NA
166.306 42500 NA NA NA NA NA NA NA NA NA NA
162.358 43000 NA NA NA NA NA NA NA NA NA NA
158.502 43500 NA NA NA NA NA NA NA NA NA NA
154.739 44000 NA NA NA NA NA NA NA NA NA NA
151.064 44500 NA NA NA NA NA NA NA NA NA NA
147.477 45000 -46.096 0.16 84 41.553 0.476 7.311 1.209 81 260.021 42.191
